bitarray
|   arg    |                    call                    |                                                      col2                                                      | col3 |
| nodes        | call to PyList_Append                      | pyahocorasick/Automaton.c:1127:24:1127:28                                 |    0 |
| edges        | call to PyList_Append                      | pyahocorasick/Automaton.c:1133:28:1133:32                                 |    0 |
| fail         | call to PyList_Append                      | pyahocorasick/Automaton.c:1139:28:1139:31                                 |    0 |
| args         | call to PyTuple_GetItem                    | pyahocorasick/Automaton.c:982:27:982:30                                   |    9 |
| args         | call to _PyArg_ParseTupleAndKeywords_SizeT | pyahocorasick/Automaton.c:893:41:893:44                                   |  307 |
| args         | call to PyTuple_GetItem                    | pyahocorasick/Automaton.c:742:35:742:38                                   |   60 |
| args         | call to PyTuple_GetItem                    | pyahocorasick/Automaton.c:759:35:759:38                                   |   60 |
| args         | call to PyTuple_GetItem                    | pyahocorasick/Automaton.c:789:35:789:38                                   |   60 |
| args         | call to PyTuple_GetItem                    | pyahocorasick/Automaton.c:675:35:675:38                                   |  341 |
| callback     | call to _PyObject_CallFunction_SizeT       | pyahocorasick/Automaton.c:701:61:701:68                                   |   20 |
| callback     | call to _PyObject_CallFunction_SizeT       | pyahocorasick/Automaton.c:703:61:703:68                                   |   20 |
| args         | call to PyTuple_GetItem                    | pyahocorasick/Automaton.c:540:37:540:40                                   |  323 |
| args         | call to PyTuple_GetItem                    | pyahocorasick/Automaton.c:443:31:443:34                                   |   60 |
| args         | call to PyTuple_GetItem                    | pyahocorasick/Automaton.c:218:43:218:46                                   |  858 |
| args         | call to PyTuple_GetItem                    | pyahocorasick/Automaton.c:226:43:226:46                                   |  858 |
| self         | call to PyObject_Free                      | pyahocorasick/Automaton.c:188:18:188:21                                   |    6 |
| args         | call to PyTuple_Size                       | pyahocorasick/Automaton.c:107:31:107:34                                   |  103 |
| args         | call to _PyArg_ParseTuple_SizeT            | pyahocorasick/Automaton.c:119:34:119:37                                   |  103 |
| args         | call to _PyArg_ParseTuple_SizeT            | pyahocorasick/Automaton.c:155:33:155:36                                   |  103 |
| args         | call to _PyArg_ParseTuple_SizeT            | pyahocorasick/Automaton.c:164:38:164:41                                   |  103 |
| self         | call to PyObject_Free                      | pyahocorasick/AutomatonItemsIter.c:114:18:114:21                          |    0 |
| args         | call to PyTuple_GetItem                    | pyahocorasick/AutomatonSearchIter.c:312:33:312:36                         |  121 |
| args         | call to PyTuple_GetItem                    | pyahocorasick/AutomatonSearchIter.c:323:31:323:34                         |  121 |
| flag         | call to PyObject_IsTrue                    | pyahocorasick/AutomatonSearchIter.c:325:33:325:36                         |    2 |
| self         | call to PyObject_Free                      | pyahocorasick/AutomatonSearchIter.c:139:18:139:21                         |    0 |
| args         | call to PyTuple_GetItem                    | pyahocorasick/AutomatonSearchIterLong.c:160:30:160:33                     |  121 |
| args         | call to PyTuple_GetItem                    | pyahocorasick/AutomatonSearchIterLong.c:171:28:171:31                     |  121 |
| flag         | call to PyObject_IsTrue                    | pyahocorasick/AutomatonSearchIterLong.c:173:33:173:36                     |    2 |
| self         | call to PyObject_Free                      | pyahocorasick/AutomatonSearchIterLong.c:60:18:60:21                       |    0 |
| values       | call to PyList_GetItem                     | pyahocorasick/Automaton_pickle.c:427:39:427:44                            |    0 |
| values       | call to PyList_GetItem                     | pyahocorasick/Automaton_pickle.c:484:42:484:47                            |    0 |
| values       | call to PyList_Append                      | pyahocorasick/Automaton_pickle.c:154:33:154:38                            |    0 |
| args         | call to PyTuple_GetItem                    | pyahocorasick/utils.c:390:32:390:35                                       |  704 |
| args         | call to PyTuple_GetItem                    | pyahocorasick/utils.c:308:30:308:33                                       |  350 |
| args         | call to PyTuple_GetItem                    | pyahocorasick/utils.c:332:30:332:33                                       |  350 |
| obj          | call to PyTuple_GetItem                    | pyahocorasick/utils.c:251:69:251:71                                       |  384 |
| args         | call to PyTuple_GetItem                    | pyahocorasick/src/custompickle/pyhelpers.c:20:33:20:36                    |   81 |
| args         | call to PyTuple_GetItem                    | pyahocorasick/src/custompickle/pyhelpers.c:38:47:38:50                    |   81 |
| bytes_list   | call to PyList_GetItem                     | pyahocorasick/src/pickle/pickle_data.c:76:34:76:43                        |    1 |
| bytes_list   | call to PyList_SetItem                     | pyahocorasick/src/pickle/pickle_data.c:86:30:86:39                        |    1 |
| bytes_list   | call to PyList_Append                      | pyahocorasick/src/pickle/pickle_data.c:42:38:42:47                        |    1 |
| deserializer | call to _PyObject_CallFunction_SizeT       | pyahocorasick/src/custompickle/load/module_automaton_load.c:162:50:162:61 |   24 |
| serializer   | call to PyObject_CallFunctionObjArgs       | pyahocorasick/src/custompickle/save/automaton_save.c:108:57:108:66        |    0 |
python-Levenshtein
| arg  |           call            |                                                           col2                                                           | col3 |
+------+---------------------------+--------------------------------------------------------------------------------------------------------------------------+------+
| args | call to PyArg_UnpackTuple | python-Levenshtein/Levenshtein/_levenshtein.c:2057:26:2057:29 |    0 |
| args | call to PyArg_UnpackTuple | python-Levenshtein/Levenshtein/_levenshtein.c:1992:26:1992:29 |    8 |
| args | call to PyArg_UnpackTuple | python-Levenshtein/Levenshtein/_levenshtein.c:1862:26:1862:29 |    0 |
| args | call to PyArg_UnpackTuple | python-Levenshtein/Levenshtein/_levenshtein.c:1826:26:1826:29 |    0 |
| args | call to PyArg_UnpackTuple | python-Levenshtein/Levenshtein/_levenshtein.c:1727:26:1727:29 |    4 |
| args | call to PyArg_UnpackTuple | python-Levenshtein/Levenshtein/_levenshtein.c:1604:26:1604:29 |    4 |
